name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
rexburg id,2023-04-01,38.9,32,35.4,30.3,21.6,26.3,27.7,73.7,0,0,0,,,,37.5,21.9,205.1,1013.5,98.2,9.7,62.2,3.4,2,,2023-04-01T07:08:45,2023-04-01T19:54:02,0.36,Overcast,Cloudy skies throughout the day.,cloudy,"72036904135,MYFI1,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2023-04-02,35.1,29,31.2,29.9,17,22.3,23.4,73.3,0,0,0,,,,34.4,20.8,229.4,1011.2,76.9,9.9,196.3,17,9,,2023-04-02T07:06:57,2023-04-02T19:55:14,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72036904135,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2023-04-03,35.1,20.9,28.2,30.9,12.2,22.5,18.3,67.8,0,0,0,,,,,9.2,23.1,1004.3,45.2,9.6,206.5,17.7,9,,2023-04-03T07:05:10,2023-04-03T19:56:27,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72036904135,AHTI,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2023-04-04,37.1,26,30.9,29,16.6,22.3,17.5,58.7,0,0,0,,,,29.9,18.3,22.3,1005.5,78.3,9.3,229.4,19.7,8,,2023-04-04T07:03:23,2023-04-04T19:57:39,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"AHTI,72036904135,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2023-04-05,34.1,12.8,24.9,25.6,7,18.9,14.4,64.4,0,0,0,,,,25.3,15,233.6,1019.7,25.8,9.9,303.5,24.1,10,,2023-04-05T07:01:37,2023-04-05T19:58:51,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72036904135,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2023-04-06,38.9,20,29.1,35.4,12.4,23.2,17.3,61.5,0,0,0,,,,21.9,10.3,211.6,1025.4,20.6,9.9,274.2,19.7,8,,2023-04-06T06:59:51,2023-04-06T20:00:03,0.52,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"AHTI,72036904135,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2023-04-07,43.1,16.1,29.9,41.4,7.4,24.9,15.2,56.4,0,0,0,,,,,9.2,53.3,1020.3,13.7,9.9,290.9,21.9,9,,2023-04-07T06:58:05,2023-04-07T20:01:15,0.56,Clear,Clear conditions throughout the day.,clear-day,"72036904135,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2023-04-08,48.8,29.9,40,45.3,24.9,36.9,26.9,60.2,0,0,0,,,,,11.4,226.3,1019.1,21.4,9.9,332.8,23.9,9,,2023-04-08T06:56:20,2023-04-08T20:02:27,0.59,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72036904135,AHTI,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2023-04-09,51.1,30.8,40,51.1,27.5,37.2,29,66,0,0,0,,,,,8.1,37.8,1026.4,14.6,9.7,330.7,23.6,9,,2023-04-09T06:54:35,2023-04-09T20:03:40,0.63,Clear,Clear conditions throughout the day.,clear-day,"72036904135,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
rexburg id,2023-04-10,56,28.1,42.3,56,22.9,39.7,29.4,62.7,0,0,0,,,,19.7,8.1,47.3,1025.6,0,9.9,275.5,23.7,8,,2023-04-10T06:52:51,2023-04-10T20:04:52,0.66,Clear,Clear conditions throughout the day.,clear-day,"72036904135,AHTI,72681894194,KRXE,KIDA,KDIJ,72578524145,RXGI"
